"subject","a","v.ng","v.go","z","t0","st0"
"subject_11",0.823467799539032,1.512840734613,3.31757949817384,0.685247269902798,0.174202143141658,0.216397777148894
"subject_110",1.04091148933739,3.05368829254766,4.66729890839097,0.630670340041751,0.22648783867772,0.338796599676298
"subject_111",0.987248141341378,1.39296877746406,3.44283473797567,0.596083318978273,0.190242836365317,0.112864970661148
"subject_114",1.13186893670146,1.20259097927464,1.6509789554173,0.770555897519721,0.185686928285071,0.083470976725442
"subject_115",1.24458928882809,2.65971082513463,4.07446773131132,0.56444420500701,0.18409173270568,0.15599068767396
"subject_116",0.949403097331241,2.3038076082974,3.49912679547165,0.853022376088305,0.196970633682632,0.116271400063946
"subject_117",1.36474085305457,3.36049414904238,4.84223771470463,0.518444294098921,0.224044215416094,0.0963080812747224
"subject_118",0.823444696412398,2.55130104959199,3.25545803616702,0.682674518463018,0.211355834074662,0.111900909327589
"subject_119",1.21691504471385,1.92214606986855,3.04633382195921,0.64758594908735,0.190257343605245,0.103927068453651
"subject_12",0.864793237760923,1.96132976968059,2.48233417749144,0.856561310222981,0.201801530748989,0.0888617755748442
"subject_13",0.63073755917135,1.89239996952598,3.12063946953987,0.769045108547322,0.190872831880712,0.104015106891041
"subject_14",1.23552922441408,2.22655219697636,4.21861088677187,0.597020836211605,0.216920947189727,0.107052746672072
"subject_15",1.12865173396672,2.46828881793895,4.76330368394322,0.57998274024867,0.220901727214543,0.126491470761687
"subject_16",0.812027031893084,2.46157501981775,3.76175163266251,0.809141820674036,0.190012412852233,0.0719923532103938
"subject_17",0.78970125478362,2.881958355205,3.97589516196682,0.608065701179036,0.240553935779639,0.0988791363965067
"subject_18",1.22975410934675,1.26661080833616,2.68674521079796,0.671340361468677,0.201560996610225,0.100536166517427
"subject_19",0.825778516999198,2.32427454256652,4.73201842913142,0.629413047777518,0.2056206668797,0.132454937160422
"Subject_21",1.1283139516778,2.72806215296763,3.72034311525123,0.614069043682249,0.183855344865666,0.111542158651404
"subject_210",1.06262063749487,1.83232148655215,3.43133844266737,0.678480813314661,0.223212871109439,0.122367128680975
"subject_211",0.993482739865035,2.22230902344231,4.06908791358476,0.694357318517015,0.215693595745914,0.093244076028298
"subject_212",1.06731339744311,2.76666963783602,3.95033482846446,0.71728251054491,0.226571908561931,0.246470394309433
"subject_213",1.07069928332068,2.01711580348166,3.53068152361629,0.603387791413906,0.177063019339073,0.11058119361253
"subject_216",0.776540369800231,2.68275993162214,4.68283023336623,0.678506735800571,0.202982809951383,0.114731424904258
"subject_217",0.896013491980684,0.804930273869551,4.19483510769982,0.662212722109954,0.189656302626103,0.125536910341375
"subject_218",0.869484907529965,2.66759948807999,4.11942481930276,0.754733114927576,0.200073147072799,0.0838195224003769
"subject_22",1.35954346118838,2.4184422938382,2.79191338508753,0.622495437031432,0.153819861412773,0.161017146128478
"subject_220",1.48795757041427,1.90651197131163,3.51887524777213,0.546652209217286,0.177062525723996,0.108352282688094
"subject_24",1.03133558305783,1.46597490886885,3.09209527373233,0.551715024502918,0.179382146636305,0.125087562072679
"subject_25",1.05429119403775,2.43977207274166,3.6780784486044,0.681266502255431,0.183343921990281,0.16534553712452
"subject_27",1.2766727615656,2.40576066680987,4.32301837187856,0.57191194596026,0.238521446238564,0.126081149330369
"subject_29",1.14216978628352,2.7065296125246,3.54937700137861,0.63549961425389,0.185216787253584,0.0856162541172687
"subject_311",1.26197805812881,1.15242272280021,2.6239946052097,0.714353952785653,0.17796329838563,0.0911770307877558
"subject_315",0.834538004551071,3.3664269621962,4.61105167046844,0.697895406728206,0.222006757619656,0.107224487274407
"subject_316",0.911004120300989,2.4778317096057,3.66699967457386,0.80792654759588,0.192873301873661,0.105310264104356
"subject_318",1.17178794802566,2.00881784825902,2.72000633215662,0.663972473991387,0.17826381692075,0.119437949668555
"subject_319",0.818359481095755,2.81350631730394,4.27146454164541,0.674936966518394,0.224702090926962,0.0759284606656674
"subject_32",0.944329859011112,2.48369308628632,4.68534470182142,0.624524585320244,0.185907678859894,0.106209024415247
"subject_33",1.83266149717887,2.65131944863426,2.7534951687118,0.53500519397611,0.164635820003846,0.062127095023218
"subject_34",0.955679834414338,2.10894315169572,3.44821383456908,0.558004827378547,0.199768113514365,0.107931040107646
"subject_35",1.30985700939112,2.47069845135494,3.29395294405022,0.64311569216771,0.179685064998105,0.152625592083151
"subject_36",0.751210091393525,2.24975691529671,4.41812928336516,0.6749947960246,0.192462898022225,0.0727830893665033
"subject_37",1.22736869849894,2.3735459935416,4.11140434217612,0.594622388928416,0.192456429767665,0.198905896536282
"subject_38",1.27051000619427,3.03991735583035,3.58180537609024,0.622282084690381,0.193844302146789,0.0801857653555935
"subject_39",0.703899329338157,1.25473846390252,3.54259550322221,0.690679567803736,0.191694249809671,0.0963799692516233
